assay_type,canonical_smiles,molecule_chembl_id,standard_units,standard_value,target_organism,type
B,COc1ccc(C2=C(c3cn(C)c4ccccc34)C(=O)NC2)cc1,CHEMBL507056,nM,18000.0,Homo sapiens,IC50
B,COc1ccc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2)cc1,CHEMBL452812,nM,8700.0,Homo sapiens,IC50
B,COc1cc(C2=C(c3cn(C)c4ccccc34)C(=O)NC2)cc(OC)c1OC,CHEMBL509435,nM,11000.0,Homo sapiens,IC50
B,COc1cc(C2=C(c3cn(CC(O)CO)c4ccccc34)CNC2=O)cc(OC)c1OC,CHEMBL453593,nM,2500.0,Homo sapiens,IC50
B,COc1cc(C2=C(c3cn(CC4COC(C)(C)O4)c4ccccc34)CNC2=O)cc(OC)c1OC,CHEMBL509635,nM,3200.0,Homo sapiens,IC50
B,COc1cc(C2=C(c3cn(COCc4ccccc4)c4ccccc34)CNC2=O)cc(OC)c1OC,CHEMBL453336,nM,1700.0,Homo sapiens,IC50
B,COc1cc(C2=C(c3cn(COc4ccccc4)c4ccccc34)CNC2=O)cc(OC)c1OC,CHEMBL488811,nM,2500.0,Homo sapiens,IC50
B,COc1cc(C2=C(c3cn(COC(C)(C)C)c4ccccc34)CNC2=O)cc(OC)c1OC,CHEMBL488646,nM,4800.0,Homo sapiens,IC50
B,COc1cc(C2=C(c3cn(COC(C)C)c4ccccc34)CNC2=O)cc(OC)c1OC,CHEMBL488645,nM,5300.0,Homo sapiens,IC50
B,CCOCn1cc(C2=C(c3cc(OC)c(OC)c(OC)c3)C(=O)NC2)c2ccccc21,CHEMBL529217,nM,3600.0,Homo sapiens,IC50
B,COCn1cc(C2=C(c3cc(OC)c(OC)c(OC)c3)C(=O)NC2)c2ccccc21,CHEMBL519590,nM,3200.0,Homo sapiens,IC50
B,COc1cc(C2=C(c3cn(COCC[Si](C)(C)C)c4ccccc34)CNC2=O)cc(OC)c1OC,CHEMBL486437,nM,5600.0,Homo sapiens,IC50
B,COc1cc(C2=C(c3c[nH]c4ccccc34)C(O)NC2=O)cc(OC)c1OC,CHEMBL505253,nM,3400.0,Homo sapiens,IC50
B,COc1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2)cc(OC)c1OC,CHEMBL521201,nM,9400.0,Homo sapiens,IC50
B,COc1cc(C2=C(c3c[nH]c4ccccc34)CNC2=O)cc(OC)c1OC,CHEMBL529663,nM,37.0,Homo sapiens,IC50
B,COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(C(N)=O)s3)c2cc1OC,CHEMBL514499,nM,92.0,Homo sapiens,IC50
B,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL388978,nM,1.9,Homo sapiens,IC50
B,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,CHEMBL477772,nM,47.0,Homo sapiens,IC50
B,N=C(Nc1ccccc1)SCCCN1C(=O)C2=C(C1=O)n1ccc3cccc(c31)C1Cc3ccccc3N21,CHEMBL487254,nM,9600.0,Homo sapiens,IC50
B,N=C(N)SCCCn1c(=O)c2c(c1=O)n1c3ccccc3cc1c1cccc3ccn2c31,CHEMBL489083,nM,4700.0,Homo sapiens,IC50
B,CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc1-2,CHEMBL564829,nM,920.0,Homo sapiens,IC50
B,COc1cc(O)c2c(c1)C(=O)c1cc(C)c(O)cc1C2=O,CHEMBL463054,ug.mL-1,10.0,Homo sapiens,IC50
B,COc1cc(O)c2c(c1)C(=O)C1=C(C2=O)[C@H](O)[C@@H](O)[C@@](C)(O)[C@@H]1O,CHEMBL512054,ug.mL-1,9.9,Homo sapiens,IC50
B,COc1cc2c(c(O)c1-c1c(OC)cc(O)c3c1C(=O)C1=C(C3=O)[C@H](O)[C@@H](O)[C@@](C)(O)[C@@H]1O)C(=O)c1cc(O)c(C)cc1C2=O,CHEMBL554993,ug.mL-1,4.0,Homo sapiens,IC50
B,COc1cc(O)c2c(c1)C(=O)c1cc(C)c(O)c(O)c1C2=O,CHEMBL556684,ug.mL-1,2.7,Homo sapiens,IC50
B,C=CC(=O)N1CCC[C@H]1C(=O)Nc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OCCOC,CHEMBL571040,nM,2700.0,Homo sapiens,IC50
B,C=CC(=O)N1CCC[C@H]1C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3F)ncnc2cc1OCCOC,CHEMBL569880,nM,4500.0,Homo sapiens,IC50
B,CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1,CHEMBL565612,nM,4600.0,Homo sapiens,IC50
B,COc1cc2c(Nc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL595615,nM,69.0,Homo sapiens,IC50
B,COc1cc2c(Nc3ccc(-c4nc5ccccc5s4)cc3C)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL595406,nM,340.0,Homo sapiens,IC50
B,COc1cc2c(Nc3ccc(-c4nc5ccccc5s4)cc3O)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL595142,nM,4500.0,Homo sapiens,IC50
B,COc1cc(-c2nc3ccccc3s2)ccc1Nc1ncnc2cc(OCCCN3CCN(C)CC3)c(OC)cc12,CHEMBL593221,nM,1700.0,Homo sapiens,IC50
B,COc1cc2c(Nc3ccc(-c4nc5ccccc5s4)cc3OC(F)(F)F)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL593245,nM,10000.0,Homo sapiens,IC50
B,COc1cc2c(Nc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL594228,nM,350.0,Homo sapiens,IC50
B,COc1cc2c(Nc3ccc(-c4nc5ccccc5s4)c(C)c3)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL596087,nM,1500.0,Homo sapiens,IC50
B,COc1cc2c(Nc3ccc(-c4nc5ccccc5s4)c(O)c3)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL606466,nM,520.0,Homo sapiens,IC50
B,COc1cc2c(Nc3ccc(-c4nc5ccccc5s4)c(OC)c3)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL593860,nM,7100.0,Homo sapiens,IC50
B,COc1cc2c(Nc3ccc(-c4nc5ccccc5s4)c(F)c3)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL593987,nM,210.0,Homo sapiens,IC50
B,COc1cc2c(Nc3ccc(-c4nc5ccccc5s4)c(Cl)c3)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL593274,nM,470.0,Homo sapiens,IC50
B,COc1ccc2nc(-c3ccc(Nc4ncnc5cc(OCCCN6CCN(C)CC6)c(OC)cc45)cc3)sc2c1,CHEMBL593306,nM,1900.0,Homo sapiens,IC50
B,COc1cc2c(Nc3ccc(-c4nc5ccc(F)cc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL604992,nM,865.0,Homo sapiens,IC50
B,COc1cc2c(Nc3ccc(-c4nc5ccc(Cl)cc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL593275,nM,9300.0,Homo sapiens,IC50
B,COc1cc2c(Nc3ccc(-c4nc5cc(Cl)ccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL596292,nM,1300.0,Homo sapiens,IC50
B,COc1cc2c(Nc3ccc(-c4nc5cc(C(F)(F)F)ccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL593908,nM,10000.0,Homo sapiens,IC50
B,COc1cc2c(Nc3ccc(-c4nc5ccc(Cl)cc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL593909,nM,3000.0,Homo sapiens,IC50
B,COc1cc2c(N(C)c3ccc(-c4nc5ccccc5s4)c(OC)c3)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL593770,nM,10000.0,Homo sapiens,IC50
B,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL604483,nM,190.0,Homo sapiens,IC50
B,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL595143,nM,121.0,Homo sapiens,IC50
B,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1,CHEMBL595373,nM,140.0,Homo sapiens,IC50
B,NCCn1cc(-c2cc(-c3cc4ccccc4s3)c3[nH]ncc3c2)c2nc(N)ncc21,CHEMBL590109,nM,5800.0,Homo sapiens,IC50
B,COc1cc(C2=C(c3c[nH]c4ccc(I)cc34)C(=O)NC2=O)cc(OC)c1OC,CHEMBL597492,nM,29.51,Homo sapiens,IC50
B,COc1cc(C2=C(c3c[nH]c4ccc(Br)cc34)C(=O)NC2=O)cc(OC)c1OC,CHEMBL605957,nM,21.0,Homo sapiens,IC50
B,COc1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)cc(OC)c1OC,CHEMBL201511,nM,22.0,Homo sapiens,IC50
B,COc1cc(C2=C(c3c[nH]c4ccc(F)cc34)C(=O)NC2=O)cc(OC)c1OC,CHEMBL606168,nM,66.0,Homo sapiens,IC50
B,CC(=O)N1CCC(Nc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)CC1,CHEMBL599224,nM,10000.0,Homo sapiens,IC50
B,Cn1nc(C(N)=O)c2c1-c1nc(NC3CCN(C(=O)c4ccccc4)CC3)ncc1CC2,CHEMBL599428,nM,10000.0,Homo sapiens,IC50
B,CNC(=O)c1nn(C)c2c1CCc1cnc(NC3CCN(C(=O)C4CCN(S(C)(=O)=O)CC4)CC3)nc1-2,CHEMBL597754,nM,10000.0,Homo sapiens,IC50
B,CC(C)CC(=O)Nc1n[nH]c2c1CN(C(=O)C1CCN(C)CC1)C2(C)C,CHEMBL1230607,nM,10000.0,Homo sapiens,IC50
B,CC(C)(C)C(=O)N1Cc2c(NC(=O)c3cc(F)cc(F)c3)n[nH]c2C1(C)C,CHEMBL604712,nM,10000.0,Homo sapiens,IC50
B,O=C(Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1)Nc1cccc(C(F)(F)F)c1,CHEMBL1081198,nM,71.0,Homo sapiens,IC50
B,O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCOCC4)c3)n2)c1,CHEMBL1090360,nM,65.0,Homo sapiens,IC50
B,Cl.NCCc1cn(CCCCCc2ccccc2)c2ccc(OCCc3ccc(O)cc3)cc12,CHEMBL1098119,nM,2680.0,Homo sapiens,IC50
B,Cl.NC1CCc2c(c3cc(OCCc4ccc(O)cc4)ccc3n2CCCCCc2ccccc2)C1,CHEMBL1098120,nM,2170.0,Homo sapiens,IC50
B,Cl.NCCc1c[nH]c2ccc(O)cc12,CHEMBL535832,nM,50000.0,Homo sapiens,IC50
B,COc1ccc(CCCCCn2cc(CCN)c3cc(OCCc4ccc(O)cc4)ccc32)cc1.Cl,CHEMBL1098121,nM,2050.0,Homo sapiens,IC50
B,CSc1ccc(CCCCCn2cc(CCN)c3cc(OCCc4ccc(O)cc4)ccc32)cc1.Cl,CHEMBL1094194,nM,2530.0,Homo sapiens,IC50
B,Cl.NCCc1cn(Cc2ccc(-c3cccc(C(F)(F)F)c3)cc2)c2ccc(OCCc3ccc(O)cc3)cc12,CHEMBL1094195,nM,3010.0,Homo sapiens,IC50
B,COc1ccc(-c2ccc(Cn3cc(CCN)c4cc(OCCc5ccc(O)cc5)ccc43)cc2)cc1.Cl,CHEMBL1094196,nM,960.0,Homo sapiens,IC50
B,Cl.NCCc1cn(Cc2ccc(-c3ccccc3)cc2)c2ccc(OCCc3ccc(O)cc3)cc12,CHEMBL1095154,nM,4070.0,Homo sapiens,IC50
B,Cl.NCCc1c[nH]c2ccc(OCCc3ccc(O)cc3)cc12,CHEMBL1095957,nM,2640.0,Homo sapiens,IC50
B,CSc1ccc(CCCCCn2cc(CCNC(=O)OC(C)(C)C)c3cc(OCCc4ccc(O)cc4)ccc32)cc1,CHEMBL1099339,nM,50000.0,Homo sapiens,IC50
B,COc1ccc(CCOc2ccc3c(c2)c(CCN)cn3CCCCCc2ccc(SC)cc2)cc1.Cl,CHEMBL1094835,nM,1310.0,Homo sapiens,IC50
B,CN(C)c1ccc(CCCCCn2c3c(c4cc(OCCc5ccc(O)cc5)ccc42)CC(N)CC3)cc1.Cl.Cl,CHEMBL3216254,nM,1660.0,Homo sapiens,IC50
