assay_type,canonical_smiles,molecule_chembl_id,standard_units,standard_value,target_organism,type
B,C#CC[C@]12CC[C@H](O)CC1=CCC1C2CC[C@@]2(C)C1CC[C@@H]2O,CHEMBL203561,nM,1717.0,Homo sapiens,IC50
B,CC#C[C@]12CC[C@H](O)CC1=CCC1C2CC[C@@]2(C)C1CC[C@@H]2O,CHEMBL201809,nM,3733.0,Homo sapiens,IC50
B,C#C[C@]12CC[C@H](O)CC1=CCC1C2CC[C@@]2(C)C1CC[C@@H]2O,CHEMBL437065,nM,1761.0,Homo sapiens,IC50
B,CC[C@]12CC[C@H](O)CC1=CCC1C3CC[C@H](O)[C@@]3(C)CCC12,CHEMBL382097,nM,33.0,Homo sapiens,IC50
B,C=CC[C@]12CC[C@H](O)CC1=CCC1C2CC[C@@]2(C)C1CC[C@@H]2O,CHEMBL369979,nM,1768.0,Homo sapiens,IC50
B,C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@@]43CC=O)C1CC[C@@H]2O,CHEMBL201364,nM,5000.0,Homo sapiens,IC50
B,CC/C=C\[C@]12CC[C@H](O)CC1=CCC1C3CC[C@H](O)[C@@]3(C)CCC12,CHEMBL369991,nM,3767.0,Homo sapiens,IC50
B,C/C=C/[C@]12CC[C@H](O)CC1=CCC1C3CC[C@H](O)[C@@]3(C)CCC12,CHEMBL202415,nM,843.0,Homo sapiens,IC50
B,C/C=C\[C@]12CC[C@H](O)CC1=CCC1C3CC[C@H](O)[C@@]3(C)CCC12,CHEMBL383253,nM,718.0,Homo sapiens,IC50
B,CO/C=C/[C@]12CC[C@H](O)CC1=CCC1C3CC[C@H](O)[C@@]3(C)CCC12,CHEMBL204389,nM,4617.0,Homo sapiens,IC50
B,CO/C=C\[C@]12CC[C@H](O)CC1=CCC1C3CC[C@H](O)[C@@]3(C)CCC12,CHEMBL380876,nM,1402.0,Homo sapiens,IC50
B,C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@@]43/C=C/Br)C1CC[C@@H]2O,CHEMBL204317,nM,120.0,Homo sapiens,IC50
B,C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@@]43/C=C\Br)C1CC[C@@H]2O,CHEMBL379441,nM,20.0,Homo sapiens,IC50
B,C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@@]43/C=C/Cl)C1CC[C@@H]2O,CHEMBL370236,nM,1436.0,Homo sapiens,IC50
B,C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@@]43/C=C\Cl)C1CC[C@@H]2O,CHEMBL201569,nM,172.0,Homo sapiens,IC50
B,C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@@]43/C=C/F)C1CC[C@@H]2O,CHEMBL202400,nM,85.0,Homo sapiens,IC50
